Date,User,Tweet
2022-06-29 21:23:33+00:00,JamesRosenTV,"The chairman of the @federalreserve says ""there's no guarantee"" he and @POTUS can deliver a ""soft landing"" for the economy: that is, use higher interest rates to tame inflation without triggering a #recession. Watch my report from the @WhiteHouse for @greta on @newsmax at 6p ET."
2022-06-29 13:28:54+00:00,PeterSchiff,"The final read on Q1 GDP is now minus 1.6%. Since Q2 will likely be negative too, the #Fed and @JoeBiden will soon be forced to admit that Amercia's red hot economy has actually been in a #recession all year, which will only get far worse with high #inflation and more rate hikes."
2022-06-28 19:59:29+00:00,PeterSchiff,Today's outside reversal day likely means the bear-market rally is over and that #stocks will soon hit new lows. Investors are bracing for #recession and higher short-term interest rates than previously expected. But they're not bracing for #inflation remaining high despite both.
2022-06-28 16:14:38+00:00,PeterSchiff,Every time the economy enters #recession it takes a larger dose of monetary stimulus to get it out. That's because the stimulus prevents real solutions from taking place and sows the seeds of a worse recession to come. This recession will now require a fatal overdose of stimulus.
2022-06-28 13:00:01+00:00,StatistaCharts,"Will #China become the world's next superpower? Over the past few decades, China has become the world's manufacturing hub and largest goods exporter. The US and EU have seen their economic superiority challenged in the last 20 years, with both on the brink of #recession."
2022-06-28 02:45:33+00:00,marcfriedrich7,#recession is coming
2022-06-27 16:10:31+00:00,PeterSchiff,Investors are making an even bigger mistake in thinking the #Fed will succeed in bringing #inflation back down to 2% than they did in thinking inflation was transitory. They are also mistaken in assuming that any potential #recession will be mild or that it will cure inflation.
2022-06-27 14:54:20+00:00,PeterSchiff,Busts are usually proportionate to the artificial booms that precede them. We had a financial crisis in 2008 and Great #Recession because the boom the #Fed created with 1% interest rates for about two years was so large. Imagine what follows 0% interest rates for nearly 14 years!
2022-06-27 12:59:16+00:00,PeterSchiff,"Anyone thinking this #recession will be mild doesn't understand recessions. The longer interest rates are held too low during a boom, the more mistake that must be corrected during a bust. Since rates have never been so low for so long, this recession will be the most severe yet."
2022-06-27 12:26:08+00:00,PeterSchiff,"Trying to avoid a #recession is a mistake. When artificially low interest rates result in economic mistakes, the best thing for the economy is to allow market forces to correct them. #Fed policy to avoid a recession that past policy mistakes made necessary is a bigger mistake."
2022-06-23 20:48:27+00:00,JonahHe29614304,"It's a D.C. and Fed problem. Devaluing the currency has robbed the many subjects of their purchasing power. The Parties are both responsible.  
Sick of #recession? Advocate for #Secession."
2022-06-23 18:18:30+00:00,PeterSchiff,"It's clear investors are no longer worried about #inflation, but are only worried about #recession. In contrast, the #Fed is only worried about inflation, but is not concerned about recession. Soon investors and the Fed will be on the same page. They'll be petrified about both."
2022-06-23 17:42:04+00:00,PeterSchiff,"#Gold stocks are selling off on the false belief that #recession will rid the economy of #inflation. In reality, a severe recession will result in even higher inflation as the #Fed prints money like crazy to ""stimulate"" the economy, prop up asset prices and monetize Federal debt."
2022-06-23 15:15:59+00:00,PeterSchiff,"#Powell's confident prediction that the U.S. economy will experience strong real GDP growth in the second half of 2022 will prove just as wrong as his earlier forecast that #inflation was transitory. Not only will GDP growth not be strong, the U.S. will likely be in a #recession."
2022-06-23 14:38:36+00:00,Clarsonimus,"After fixing his phony election
A swindler pursued his profession.
He crowed to the press
Of his brilliant success
While he led his land into #recession."
2022-06-23 14:12:19+00:00,PeterSchiff,"The PMI Composite Index for June unexpectedly plunged to 51.2, a 5-month low. Manufacturing tanked to a 2-year low of 52.4 and services sank to 51.6. Weekly unemployment claims also rose to a 5-month high. This is more compelling evidence that the U.S. is already in a #recession."
2022-06-23 11:22:19+00:00,simplykashif,"TDS
Income Tax
And now GST is being planned.

If crypto is being seen as a revenue generating industry then why not to allow it grow alongside by bringing favourable policies.

Citibank has predicted a 50% chances of 🌍#recession.

Crypto industry can combat recession for 🇮🇳."
2022-06-22 14:05:40+00:00,PeterSchiff,"I actually agree with @SenWarren that #Powell's interest rate hikes won't cure #inflation, but will result in a #recession. But that's because the #Fed will not hike rates enough and #Congress and @POTUS will not help out by reducing government spending and repealing regulations."
2022-06-22 12:15:00+00:00,schlottgsarah,"=&gt; @GoldmanSachs warns that the odds of a U.S. #recession are rising as the Federal Reserve ratchets up the fight to cool scorching-hot inflation. Analysts see a 30% probability of recession over the next year, up from 15% previously."
2022-06-22 09:45:21+00:00,simplykashif,"""Recession aane wala hai.""

But what is #recession and how does it impacts you?

Let's understand it in a simple form.

🧵1/"
2022-06-21 16:44:46+00:00,PeterSchiff,"Today's #StockMarket rally is based on the growing consensus that the U.S. economy already is, or soon will be in #recession; meaning the #Fed pivots sooner. #Gold's failure to rally confirms that investors still don't understand that a weaker economy means stronger #inflation."
2022-06-21 11:50:30+00:00,julianHjessop,"I'm hearing more talk that the UK is 'already' in #recession, at least on the definition of two successive quarters of negative growth  🙄

GDP probably will fall in Q2. But this is mainly due to the #Jubilee distortion. which actually makes a return to growth in Q3 more likely!"
2022-06-19 15:23:09+00:00,C_Barraud,"🇺🇸 *#RECESSION RISKS `ARE GOING UP': #FED'S MESTER IN CBS INTERVIEW
*FED'S MESTER: WILL TAKE COUPLE OF YEARS TO REACH 2% INFLATION
*MESTER: FED NEEDS `COMPELLING EVIDENCE' OF INFLATION EASING
*MESTER SAYS FED MUST BE NIMBLE IN THIS PERIOD OF UNCERTAINTY"
2022-06-19 09:25:01+00:00,elerianm,"Coming off a week characterized by a pick up in #recession talk and the biggest equity market losses in two years, this week for the global #economy and #markets will be dominated by Fedspeak and macro data.
I count at least 8 FOMC members scheduled to speak, including #Fed...
1/"
2022-06-17 23:19:20+00:00,drboycewatkins1,"The problem for #JoeBiden is that people don’t want to hear you talking about #Trump and #Ukraine when #inflation is out of control, we are heading toward a #recession and gas is over $5 a gallon nation wide."
2022-06-17 13:29:52+00:00,PeterSchiff,"May industrial production rose just .2%, half the rise expected, while factory output fell .1%, verses expectations of a .5% gain. Clearly #inflation has already pushed the U.S. #economy into a #recession. Plus, lower production means less supply and higher prices. #Stagflation."
2022-06-16 19:52:59+00:00,PeterSchiff,The political reality is that the U.S. economy will be in a severe recession during the midterm elections in Nov. and it will still be in the same recession during the general election in 2024. The main difference is that in 2024 #inflation and the #recession will be even worse!
2022-06-16 13:20:38+00:00,PeterSchiff,"If the U.S. economy is already in #recession with just 3.6% #unemployment, imagine how bad this recession will be once unemployment surges. Soaring #inflation will make the recession much worse, as rising prices force even those who don't lose their jobs to cut back on spending."
2022-06-15 23:43:00+00:00,ScottMinerd,Reminder: The US has never had #inflation come down by more than two percentage points in a year without a #recession.
2022-06-15 23:13:12+00:00,ScottMinerd,The #Fed is going to have a hard time explaining to people that we can go down this interest rate path and not find ourselves in a #recession or some kind of financial accident. I think it's inevitable.
2022-06-15 20:12:43+00:00,montymetzger,"3 Reasons Why @LCX Will Grow During This #Cryptocrash and #Recession
🐯 Incumbents are vulnerable and we'll keep launching new products
🐯 Good people are looking for work and we are hiring!
🐯 Smart investors want to invest and we create value for the long-term @Tiamonds @LCX 💎"
2022-06-15 18:32:51+00:00,PeterSchiff,"The Atlanta Fed just slashed its estimate for Q2 #GDP growth to zero. In May their estimate was still above 2% and it was revised down to .9% earlier in June. At this rate their next revision will show a negative number, officially forecasting a #recession following - 1.5% in Q1."
2022-06-15 15:03:40+00:00,PeterSchiff,"Why do so many people fail to understand that a low official #unemployment rate doesn't preclude a #recession? If high #inflation effectively gives 100% of workers a 10% pay cut, that could reduce real personal spending as much as 10% of workers losing their jobs. #Stagflation!"
2022-06-15 14:22:20+00:00,ScottMinerd,"Bleak retail sales may spell negative consumption expenditures and #GDP contraction in the 2nd quarter, increasing the probability that the US economy is already in #recession."
2022-06-15 13:47:58+00:00,PeterSchiff,Retail sales fell .3% in May as higher prices forced consumers to pay more and buy less. YoY May import prices jumped 11.7% while American made goods prices surged 18.9%. The June Empire State Mfg. Index is minus 1.2. More evidence that #inflation has already caused a #recession.
2022-06-15 13:05:37+00:00,GlobalProTrader,"Retail sales are not adjusted for inflation. So if prices rise 5%, even if the same amount of goods are sold, sales should be up 5%. However, besides missing expectations, they were down -0.3% vs +0.7% in Apr, even with the CPI +0.7% in May. 
#Recession is already here."
2022-06-15 12:46:32+00:00,trish_regan,"WARNING: we may ALREADY be in a #recession. 

And, if not, we're darn close to one. 

Atlanta Fed revised its second quarter GDP estimate down to .9% growth. By the time the final number is revealed, we may learn that the second quarter was NEGATIVE growth just like the first."
2022-06-14 19:08:07+00:00,PeterSchiff,"Lee Cooperman was on @CNBC forecasting a long bear market. It will be worse than he thinks. While he expects earning to fall during the #recession, he also expects the S&amp;P to trade at 18x earnings. Not only will earnings fall more than he thinks, but the PE may bottom below 10x."
2022-06-14 17:35:13+00:00,PeterSchiff,"The Treasury yield curve is inverted from 5s to 30s. When it inverts from 2s to 30s even the #Fed may realize that a severe recession has already started. But the real problem for the bond market begins when investors figure out that #recession means higher, not lower #inflation."
2022-06-14 13:03:09+00:00,PeterSchiff,"#Coinbase is firing 18% of its employees due to falling #crypto prices and #recession. This is likely just the first round of layoffs, and a harbinger of many more to come throughout the crypto ecosystem and beyond. Without jobs many #HODLers may be forced to sell their #Bitcoin."
2022-06-13 17:14:47+00:00,anjalisvoice,"USA inflation hits 40 year high, come lets blame modi

#Inflation #Recession #RBI #BJPFailsIndia"
